Unit ID,Recommendation,Make,Model,Year,Total_Miles,Total_Revenue,Total_Repair_Cost,Repair_CPM,Net_Exit_Gain,Projected_Net_Value_10Wks,Ownership,Monthly_Payment,Payoff_Balance,Estimated_Market_Value
Truck 1055,"SELL (Low Use, High Value)",PETERBILT,TT,2001,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0352,KEEP (Profitable),Peterbilt,579,2025,26177.0,35100.0,3048.54,0.11645872330671964,135000.0,21478.96,Operating lease,4229.0,0.0,135000.0
SPOT-Truck 0160,KEEP (Profitable),Kenworth,T680,2020,35226.0,30850.0,15078.99,0.42806421393289046,42110.0,12033.51,Lease Purchase,1495.0,7790.0,49900.0
Truck 0590,INSPECT (Review),International,TT,2020,26514.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0553,"SELL (Low Use, High Value)",Freightliner,TT,2016,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0651,"SELL (Low Use, High Value)",volvo,TT,2015,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0886,"SELL (Low Use, High Value)",Freightliner,CASCADIA,2020,0.0,0.0,0.0,0.0,54900.0,0.0,Owner Operator Owned,0.0,0.0,54900.0
Truck 0804,"SELL (Low Use, High Value)",Freightliner,TT,2013,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1061,"SELL (Low Use, High Value)",PETERBILT,579,2012,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0282,KEEP (Profitable),Kenworth,T680,2025,23424.0,43600.0,1914.73,0.08174223019125683,169899.0,31962.219999999998,Lease Purchase,3889.22,1.0,169900.0
Truck 0812,"SELL (Low Use, High Value)",KENWORTH,TT,2020,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1062,"SELL (Low Use, High Value)",KENWORTH,T680,2017,0.0,0.0,0.0,0.0,33000.0,0.0,Owner Operator Owned,0.0,0.0,33000.0
Truck 0012,INSPECT (Review),INTERNATIONAL,TT,2018,23972.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0290,"SELL (Low Use, High Value)",International,TT,2016,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0212,KEEP (Profitable),Peterbilt,579,2022,30452.0,64350.0,7559.4,0.24823985288322606,79500.0,50379.97499999999,Financed,2564.25,0.0,79500.0
SPOT-Truck 1064,"SELL (Low Use, High Value)",Freightliner,Cascadia,2020,0.0,2300.0,0.0,0.0,54900.0,-9320.0,Rental,3728.0,0.0,54900.0
Truck 0890,"SELL (Low Use, High Value)",Freightliner,CASCADIA,2017,0.0,0.0,0.0,0.0,25000.0,0.0,Owner Operator Owned,0.0,0.0,25000.0
Truck 0897,"SELL (Low Use, High Value)",VOLVO,TR,2016,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1065,"SELL (Low Use, High Value)",VOLVO,TT,2006,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0792,"SELL (Low Use, High Value)",PETERBILT,567,2017,0.0,0.0,0.0,0.0,27999.0,0.0,Owner Operator Owned,0.0,0.0,27999.0
SPOT-Truck 0019,KEEP (Profitable),Peterbilt,579,2024,30445.0,64200.0,7793.66,0.25599146000985384,169894.0,46636.34,Lease Purchase,3908.0,101.0,169995.0
Truck 0579,INSPECT (Review),Kenworth,TT,2019,10506.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0267,KEEP (Profitable),Freightliner,Cascadia,2022,23016.0,46650.0,2739.01,0.11900460549183178,79900.0,33735.99,Operating lease,4070.0,0.0,79900.0
Truck 1066,"SELL (Low Use, High Value)",Freightliner,,2021,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
SPOT-Truck 0096,KEEP (Profitable),Peterbilt,579,2024,31242.0,52700.0,10678.2,0.3417898982139428,134995.0,32271.800000000003,Lease Purchase,3900.0,35000.0,169995.0
Truck 0601,INSPECT (Review),freightliner,TT,2014,17010.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0833,"SELL (Low Use, High Value)",FRHT,TT,2017,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0905,"SELL (Low Use, High Value)",Freightliner,CASCADIA,2019,0.0,0.0,0.0,0.0,47225.0,0.0,Owner Operator Owned,0.0,0.0,47225.0
Truck 0915,"SELL (Low Use, High Value)",KENWORTH,TT,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0477,"SELL (Low Use, High Value)",Freightliner,-,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1067,"SELL (Low Use, High Value)",PETERBILT,TT,2008,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0133,"SELL (Low Use, High Value)",Freightliner,Cascadia,2017,0.0,0.0,0.0,0.0,25000.0,0.0,Owner Operator Owned,0.0,0.0,25000.0
Truck 0416,"SELL (Low Use, High Value)",Freightliner,TR,2014,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0209,"SELL (Low Use, High Value)",FRHT,PT1,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0777,"SELL (Low Use, High Value)",Freightliner,TR,2017,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0099,"SELL (Low Use, High Value)",Freightliner,Cascadia,2020,0.0,0.0,0.0,0.0,54900.0,0.0,Owner Operator Owned,0.0,0.0,54900.0
SPOT-Truck 0429,KEEP (Profitable),Kenworth,T680,2025,32053.0,26000.0,264.15999999999997,0.008241350263625869,169899.0,16012.79,Lease Purchase,3889.22,1.0,169900.0
Truck 0740,"SELL (Low Use, High Value)",PETERBILT,TR,1999,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0864,"SELL (Low Use, High Value)",Freightliner,TR,2012,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1070,"SELL (Low Use, High Value)",KENWORTH,TT,2014,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0934,"SELL (Low Use, High Value)",Freightliner,Cascadia 125,2017,0.0,0.0,0.0,0.0,25000.0,0.0,Owner Operator Owned,0.0,0.0,25000.0
Truck 1071,"SELL (Low Use, High Value)",Freightliner,Cascadia,2019,0.0,0.0,0.0,0.0,47225.0,0.0,Owner operator owned,0.0,0.0,47225.0
Truck 0798,"SELL (Low Use, High Value)",Freightliner,TT,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0097,"SELL (Low Use, High Value)",Freightliner,TT,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0823,"SELL (Low Use, High Value)",NHFRHT,TT,2017,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0447,"SELL (Low Use, High Value)",Freightliner,CASCADIA,2018,0.0,0.0,0.0,0.0,38900.0,0.0,Owner Operator Owned,0.0,0.0,38900.0
SPOT-Truck 0154,KEEP (Profitable),VOLVO,VNL760,2024,42722.0,80600.0,2804.08,0.0656355039558073,57900.0,65722.17,Operating lease,4829.5,0.0,57900.0
SPOT-Truck 0146,KEEP (Profitable),Freightliner,Cascadia,2023,20260.0,75400.0,2505.45,0.12366485686080947,98900.0,62719.55,Operating lease,4070.0,0.0,98900.0
Truck 0763,"SELL (Low Use, High Value)",VOLVO,TT,2015,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
